Tweets,tweet_id,BART_Summary,Pegasus_Summary,T5_Summary
here is the main gate of buet the most prestigious educational institution in bangladesh since the julyrevolution students have been voicing unique protests against unwanted intervention by india on various internal matters of bangladesh,737684,here is the main gate of buet the most prestigious educational institution in bangladesh since the julyrevolution students have been voicing unique protests against unwanted intervention by india.,Students of the prestigious Bangladesh University have been protesting against what they see as the establishment's attempts to control the affairs of the institution.,buet is the most prestigious educational institution in bangladesh since the julyrevolution students have been voicing unique protests against
july massacre 2024 we will never forget video 36 our second independence was made possible by the sacrifices and sufferings of thousands of people like this injured brother,957168,july massacre 2024 we will never forget video 36 our second independence was made possible by the sacrifices of thousands of people like this injured brother.,"This is the moment a gunman opened fire in the French capital, Paris, killing 36 people.",july massacre 2024 we will never forget video 36 our second independence was made possible by the sacrifices and sufferings of thousands of people like this
dhaka university bloodied as chhatra league thugs attack quota reform protesters allegedly supported by pm hasina and backed by bdpolice the injured count is uncertain with reports of female students being targeted by ruling albd1971 members,619122,dhaka university bloodied as chhatra league thugs attack quota reform protesters. Reports of female students being targeted by ruling albd1971 members.,.,dhaka university bloodied as chhatra league thugs attack quota reform protesters allegedly supported by pm hasina
tragic news from dhaka university over 100 students were injured in a brutal attack by chhatra league members in front of the vcs building reports indicate several female students were also harassed by ruling albd1971s student wings,907825,tragic news from dhaka university over 100 students were injured in a brutal attack by chhatra league members. reports indicate several female students were also harassed by ruling albd1971s student wings.,Students of Dhaka University have been protesting against what they see as a rise in student violence.,tragic news from dhaka university over 100 students were injured in a brutal attack by chhatra league members. several female students were
1 month ago today still remember the fear i had in me when i saw the facebook postie really lived through a movie and fortunately this time we had a good ending,578142,1 month ago today still remember the fear i had in me when i saw the facebook postie really lived through a movie and fortunately this time we had a good ending.,It's been a long time since i've seen a movie like this and it's been a long time since i've seen a,1 month ago today remember the fear i had in me when i saw the facebook postie really lived through a movie. this time
please speak about bangladesh use your platforms to spread awareness about the ongoing situation all eyes on bangladesh save bangladeshi student,661809,please speak about bangladesh use your platforms to spread awareness about the ongoing situation. all eyes on bangl Bangladesh save bangladeshi student.,we are calling on the prime minister to intervene and stop the violence against students in bangladesh.,please speak about bangladesh use your platforms to spread awareness about the ongoing situation all eyes on bangladesh save bangladeshi student
make a bamboo stick make bangladesh free asia maimed student leader on march to dhaka tomorrow step down fascist having,543393,make a bamboo stick make bangladesh free asia maimed student leader on march to dhaka tomorrow step down fascist having.,.,make a bamboo stick make bangladesh free asia maimed student leader on march to dhaka tomorrow step down fascist
coordinator nails directive the student community will not accept martial law,309081,coordinator nails directive the student community will not accept martial law.,"Students at the University of California, Los Angeles, have walked out of classes in protest over the decision by President Donald Trump to declare a state of emergency",coordinator nails directive the student community will not accept martial law.
on august 4 2024 on the first day of the mass movement around 30 people were killed across the country in attacks by the awami league chhatra league jubo league and police,964474,on august 4 2024 on the first day of the mass movement around 30 people were killed across the country.,Bangladesh has been gripped by political violence since the formation of the new government in January 2014.,on august 4 2024 on the first day of the mass movement around 30 people were killed across the country in attacks by the awami league
bel goons attacked unarmed protesters viciously throughout the whole day this video shows a proof of their act in sleet,657228,bel goons attacked unarmed protesters viciously throughout the whole day this video shows a proof of their act in sleet.,Thousands of people have taken to the streets of Belfast to show their support for the people who have been protesting against austerity measures.,bel goons attacked unarmed protesters throughout the day. video shows a proof of their act in sleet.
injured individuals will receive training and job priority while the final martyr list is gazetted and injury lists are pending,411981,injured individuals will receive training and job priority while the final martyr list is gazetted and injury lists are pending.,The BBC has learned that the government of Pakistan has started to release the names of those killed in the recent Uri attack.,injured individuals will receive training and job priority while the final martyr list is gazetted. injury lists are pending.
if a decision to ban the party is not made within this timeframe the july warriors have announced plans to block dhaka city,753287,if a decision to ban the party is not made within this timeframe the july warriors have announced plans to block dhaka city.,South Africa's ruling African National Congress (ANC) is facing a vote of no confidence from the country's parliament.,if a decision is not made within this timeframe the july warriors have announced plans to block dhaka city.
we did not commit any crimes is it our crime to ask for an independent police commission said soaibur rahman during a remand hearing in a case filed under the cyber security act,310260,we did not commit any crimes is it our crime to ask for an independent police commission said soaibur rahman during a remand hearing.,Malaysia's top police officer has denied allegations that he ordered the arrest of the country's former deputy prime minister Najib Razak.,we did not commit any crimes is it our crime to ask for an independent police commission said soaibur rahman during a reman
students across bangladesh took to the streets late at night after protests erupted at dhaka university in response to pm sheikh hasinas comments against the quotareform movement university students nationwide held processions on their campuses,982936,students across bangladesh took to the streets late at night after protests erupted at dhaka university in response to pm sheikh hasinas comments.,Thousands of university students across Bangladesh have taken to the streets to protest against the government's decision to introduce a new law to limit the number of students,students across bangladesh took to the streets after protests erupted at dhaka university in response to pm sheikh hasin
shots are being fired at you and du please help them or spread the word,228176,shots are being fired at you and du please help them or spread the word.,All images are copyrighted.,shots are being fired at you and du please help them or spread the word.
how can you turn a nonviolent protest into this its been days of attacks we stand with bangladeshistudents all eyes on dhaka university,617821,how can you turn a nonviolent protest into this its been days of attacks we stand with bangladeshistudents all eyes on dhaka university.,Students at dhaka university in bangladeshi have been protesting against what they see as a rise in violence against them.,bangladeshistudents all eyes on dhaka university. how can you turn a nonviolent protest into this its been
never been this proud of my teachers teachers of jahangirnagar university held a demonstration with red clothes tied over their mouths,901682,never been this proud of my teachers teachers of jahangirnagar university held a demonstration with red clothes tied over their mouths.,Teachers of a university in India have staged a demonstration to protest against the government's decision not to renew their contracts.,jahangirnagar teachers held a demonstration with red clothes tied over their mouths.
resistance is the existence so keep fighting online offline in bangladesh and abroad fight everywhere the new sun will rise,169257,resistance is the existence so keep fighting online offline in bangladesh and abroad fight everywhere the new sun will rise.,All images are copyrighted.,resistance is the existence so keep fighting online offline in bangladesh and abroad fight everywhere the new sun will rise.
according to sources bangladesh army asks pm sheikhhasina to resign within 45 minutes she left dhaka for a safer place highly possible that she flown to india in military helicopter,150539,according to sources bangladesh army asks pm sheikhhasina to resign within 45 minutes she left dhaka for a safer place highly possible that she flown to india in military helicopter.,BBC Newsnight has learned that Pakistan's army has asked the country's deputy prime minister Sheikh Hasina to resign.,sources say bangladesh army asks pm sheikhhasina to resign within 45 minutes she left dhaka for a
in bangladesh gen z is making history for democracy for freedom genzrevolution we made another history to remember 5th august 2024 36th july new independence day in bangladesh,158642,in bangladesh gen z is making history for democracy for freedom genzrevolution we made another history to remember 5th august 2024 36th july new independence day.,Poland has become the first country in Europe to hold a referendum on independence from the European Union.,in bangladesh gen z is making history for democracy for freedom genzrevolution we made another history to remember 5th august 20
sheik hasina rehana left the country people are entering the ganabhaban prime ministers office,445179,sheik hasina rehana left the country people are entering the ganabhaban prime ministers office.,Thousands of people have taken to the streets of Colombo to protest against the government's decision to allow a controversial Hindu religious leader to leave the country.,sheik hasina rehana left the country people are entering the ganabhaban prime ministers office.
bangladesh is on the boil the antiquity stir has intensified 32 people have died protesters have called for a nationwide shutdown rejecting pm sheikh casings offer of talks to all those of you who have written to us from bangladesh were covering the story stay safe,966336,bangladesh is on the boil the antiquity stir has intensified 32 people have died protesters have called for a nationwide shutdown rejecting pm sheikh casings offer of talks.,BBC News NI is in bangladesh.,protesters have called for a shutdown rejecting pm sheikh casings offer of talks to all those of you who have written to us from ban
breaking bangladesh has imposed a curfew and has deployed the army to control ongoing protests against pm casings authoritarian rule the death toll since monday has climbed to at least 105 stay tuned,978861,breaking bangladesh has imposed a curfew and has deployed the army to control ongoing protests against pm casings authoritarian rule. The death toll since monday has climbed to at least 105 stay tuned.,"The death toll from days of protests in the Nepalese capital, Kathmandu, has risen to more than 100, officials say.",bangladesh has imposed a curfew and has deployed the army to control ongoing protests against pm casings authoritarian
6 months ago bangladesh got rid of the fascist government this wall art was made on this occasion maybe its my first and last wall art thanks to the principal of our college our economics teacher and our juniors for the help it was really a wonderful day,477070,6 months ago bangladesh got rid of the fascist government this wall art was made on this occasion maybe its my first and last wall art thanks to the principal of our college.,It's the last day of school in bangladesh and the students have been making their own wall art.,6 months ago bangladesh got rid of the fascist government this wall art was made on this occasion maybe its my first and last wall art
today launched the book bangladesh 36 july 2024 to mark humanrightsday in the presence of two of the young artists the book launch was accompanied by a photo exhibition featuring powerful street art inspired by the protests of 2024 on the theme of fundamental rights thank you office of the chief adviser for supporting this initiative,210235,today launched the book bangladesh 36 july 2024 to mark humanrightsday in the presence of two of the young artists.,"The chief adviser to the prime minister on foreign affairs, Philip Hammond, has launched a book on human rights in Bangladesh.",the book launch was accompanied by a photo exhibition featuring powerful street art inspired by the protests of 2024 on the theme of fundamental rights.
bic exposed the fabricated propaganda spreading by indian people may you get well soon and stop spreading propaganda about our country,239947,bic exposed the fabricated propaganda spreading by indian people may you get well soon.,The BBC's India correspondent Bikas Das has been taken to hospital with a chest infection.,bic exposed the fabricated propaganda spreading by indian people may you get well soon and stop spreading propaganda about our country.
assunnah foundation provided support to 109 orphans and 2 hindu families with 3 crore bdt taka for the families of 300 martyrs who lost their lives in the julymassuprising of the antidiscrimination student movement in bangladesh,167744,assunnah foundation provided support to 109 orphans and 2 hindu families with 3 crore bdt taka for the families of 300 martyrs.,A charity event was held in memory of those who died in the 1971 war of independence from Pakistan.,assunnah foundation provided support to 109 orphans and 2 hindu families with 3 crore bdt taka for the families
lots of murals around the city celebrating the change of regime a few months ago 36th july is reference to the day having fled aug 5th the protesters said they would keep counting the days in july until their demands were met,786859,lots of murals around the city celebrating the change of regime a few months ago 36th july is reference to the day having fled aug 5th the protesters said they would keep counting the days in july until their demands were,.,protesters said they would keep counting the days in july until their demands were met. the protesters said they would keep counting the days until
water water water mirmugdho called the students for water but suddenly a bullet hit upon his head he was dead at the spot we will miss our heroes,635307,water water water mirmugdho called the students for water but suddenly a bullet hit upon his head he was dead at the spot.,This is the story of how Mirmugdho was shot dead while trying to save a group of students from drowning in a river in South Korea.,water water water water mirmugdho called the students for water but suddenly a bullet hit upon his head. he was dead at the
4 people including cocoordinator musaddiq were detained from the movement in paltan,697981,4 people including cocoordinator musaddiq were detained from the movement.,.,4 people including cocoordinator musaddiq were detained from the movement in paltan.
all this students have been arrested during peaceful protest,319597,all this students have been arrested during peaceful protest.,.,all this students have been arrested during peaceful protest. all this students have been arrested.
having 15 years of fascism in recommends bangladesh to take the july 2024 genocide case to the ice justice must prevail more impunity for mass murderers the world is watching,896654,having 15 years of fascism in bangladesh to take the july 2024 genocide case to the ice justice must prevail more impunity for mass murderers the world is watching.,The International Criminal Court (ICC) in The Hague has opened an investigation into allegations of war crimes and crimes against humanity committed during the Bosnian war.,bangladesh has 15 years of fascism in recommends bangladesh to take the genocide case to the ice justice
justice for shapla nowtheyve tried repeatedly to erase us from history but they could notand never will inshaallah the pain of 2013 lingersour martyred brothers blood fuels our fight for justice,741634,justice for shapla now. The pain of 2013 lingersour martyred brothers blood fuels our fight for justice.,Inshaallah we remember those who lost their lives in the war in Syria.,justice for shapla nowtheyve tried to erase us from history but they could notand never will inshaallah the pain of 2013
the month of july and the first five days of august consisted of a student movement in bangladesh from the quota movement to the total noncooperation movement with a endpoint demand the country regained freedom and independence,652185,The student movement in bangladesh consisted of a student movement from the quota movement to the total noncooperation movement with a endpoint demand the country regained freedom and independence.,The BBC News website takes a look at some of the key events that have shaped the history of the Gambia.,the month of july and the first five days of august consisted of a student movement in bangladesh from the quota movement
look how the police are firing on ordinary students amid the quota movement at dhaka university save us save bangladesh from this dictatorial government,503392,look how the police are firing on ordinary students amid the quota movement at dhaka university save us save bangladesh from this dictatorial government.,Bangladesh's Prime Minister Sheikh Hasina has defended her government's crackdown on students protesting against a quota system.,police are firing on ordinary students amid the quota movement at dhaka university save us save bangladesh from this dictatorial government
6 deaths 400 injured yet we will not stop protesting we will not stop speaking about quothamovement its a basic right govt has to give it to us as simple as that we are bulletproof are you,157972,"6 deaths 400 injured yet we will not stop protesting, say protesters. ""We are bulletproof are you,"" they say.",.,we will not stop protesting we will not stop speaking about quothamovement its a basic right govt has to give it to us
it investigation finds irrefutable evidence against sheikh having in genocide and crimes against humanity case,655797,.it investigation finds irrefutable evidence against sheikh having in genocide and crimes against humanity case.,Saudi Arabia's Sheikh Salman bin Abdulaziz al-Saud has been charged with genocide and crimes against humanity by the International Criminal Court (ICC).,it investigation finds irrefutable evidence against sheikh having in genocide and crimes against humanity case. it finds irrefutable evidence against
having is the murderer of thousands she should face the consequences of her wrongdoings and killing through the ice india should not act like a foe by facilitating this dictator indian land should not be used as a platform against be,422942,having is the murderer of thousands she should face the consequences of her wrongdoings and killing through the ice. india should not act like a foe by facilitating this dictator indian land.,It is a disgrace that a woman who has been in power for more than 30 years should be allowed to run for president of the United States.,having is the murderer of thousands should face the consequences of her wrongdoings and killing through the ice india should not act like a
one point one demand step down fascist having,459571,one point one demand step down fascist having.,BBC News NI takes a look at some of the key stories from the past 24 hours.,one point one demand step down fascist having stepped down fascist.
dictator casings police attacking even our university teachers,554198,dictator casings police attacking even our university teachers.,BBC Newsnight takes a look at some of the key stories of the week.,dictator casings police attacking even our university teachers.
we chose motherland freedom and victoryinqilab zindabadlong live the revolution,117756,we chose motherland freedom and victory.inqilab zindabadlong live the revolution.,BBC News NI takes a look at some of the key stories from the past 24 hours in Northern Ireland.,we chose motherland freedom and victoryinqilab zindabadlong live the revolution. we chose motherland freedom and victory
bangladesh is free from the long dictatorship of tyrant and murderer sheikh having gratitude to the quota reform movement students and the people of my country for making this possible this is just the beginning we will reform our motherland,513352,bangladesh is free from the long dictatorship of tyrant and murderer sheikh. Having gratitude to the quota reform movement students and the people of my country for making this possible. This is just the beginning we will reform our motherland.,The people of bangladesh are free from the long dictatorship of tyrant and murderer sheikh,bangladesh is free from the long dictatorship of tyrant and murderer sheikh having gratitude to the quota reform movement students
we have done seven powerful paintings each capturing the essence of the 2024 student movementsacrifice unity and the relentless fight for justice,845574,we have done seven powerful paintings each capturing the essence of the 2024 student movements.,All images are copyrighted.,we have done seven powerful paintings each capturing the essence of the 2024 student movementsacrifice unity and the relentless fight for justice.
happy victory day guys,687745,happy victory day guys.,BBC Sport takes a look back at some of the most memorable moments from this year's FA Cup.,happy victory day guys. happy victory day guys.
today is the day of independence the day of victory the day of martyrs a new era has started with new spring birds are singing fresh smell are spreading,448259,today is the day of independence. The day of victory and martyrs. A new era has started with new spring.,All images are copyrighted.,today is the day of independence the day of victory the day of martyrs a new era has started with new spring birds singing fresh smell are spreading
this is us this is our new loving bangladesh,234380,this is us this is our new loving bangladesh.,All images are copyrighted.,this is us this is our new loving bangladesh. this is us this is our new loving bangladesh.
a month of celebration of the victory of bangladeshs antidiscrimination student movement honoring the courage and unity that brought change,205433,a month of celebration of the victory of bangladeshs antidiscrimination student movement. honoring the courage and unity that brought change.,BBC News NI takes a look at some of the key stories of the month.,a month of celebration of the victory of bangladeshs antidiscrimination student movement honoring the courage and unity that brought change
salute to all the martyrs who lost their lives fighting against the fascist swami misrule,833841,salute to all the martyrs who lost their lives fighting against the fascist swami misrule.,.,martyrs lost their lives fighting against the fascist swami misrule. salute to all the martyrs who lost their lives
internet connection in dhaka university and surrounding area has been stopped and 4g connection is not available completely,422054,internet connection in dhaka university and surrounding area has been stopped and 4g connection is not available completely.,All images are copyrighted.,internet connection in dhaka university has been stopped. 4g connection is not available completely.
to see the power of truth look to bangladesh today and keep looking it is a historic day for the bangladeshi people and the nation worldwide,798943,to see the power of truth look to bangladesh today and keep looking it is a historic day for the bangladeshi people.,"Today is a historic day for the people of bangladesh and the nation worldwide as the first black president of the United States of America, Barack Obama",to see the power of truth look to bangladesh today and keep looking it is a historic day for the bangladeshi people and the
mirror is in crisis save us save us,694988,mirror is in crisis save us save us.,BBC Sport takes a look back at some of the most memorable moments from this year's Six Nations.,mirror is in crisis save us save us save us save us save us save us save us save us save us save us save us save us save us save
massive congratulations to my fellow countrymen while we remembers the ones who we lost during this fight for freedom while the tyrant has left urging all residents to keep up the vigilance and celebrate victory in civilized manner,779633,massive congratulations to my fellow countrymen while we remembers the ones who we lost during this fight for freedom while the tyrant has left. urging all residents to keep up the vigilance and celebrate victory in civilized manner.,This is a historic day for our country as we celebrate the victory of the people over the regime of Bashar al-Assad in Syria.,the tyrant has left urging all residents to keep up the vigilance and celebrate victory in civilized manner. the t
no surprise here the recent triumph of bangladesh student movement was 15 years in the making their perseverance has paid off proving the power of youth in shaping a nations destiny,500860,The recent triumph of bangladesh student movement was 15 years in the making. The power of youth in shaping a nations destiny.,"In our series of letters from African journalists, film-maker and columnist Farai Sevenzo looks at some of the key stories from the continent this year",bangladesh student movement triumphed 15 years ago proving the power of youth in shaping a nations destiny.
a thread on the heroic efforts of private university students and the brutality of bangladesh police on 18th july,534330,a thread on the heroic efforts of private university students and the brutality of bangladesh police on 18th july.,A look back at some of the most memorable stories from the BBC News website in the past year.,thread on the heroic efforts of private university students and the brutality of bangladesh police on 18th july.
this painting is tribute to all the martyrs of july revolution,787557,this painting is tribute to all the martyrs of july revolution.,This painting is a tribute to all the martyrs of the revolution.,painting is tribute to all the martyrs of july revolution.
we want answers for every bullet ridden body we will leave the streets only after justice is served,131405,we want answers for every bullet ridden body we will leave the streets only after justice is served.,.,we want answers for every bullet ridden body we will leave the streets only after justice is served. we want answers for every bullet ridden body we
facisthasina declared mourning day after ordering to kill 300 students but people are rejecting this mockery by changing their social id dps into red,360761,facisthasina declared mourning day after ordering to kill 300 students. People are rejecting this mockery by changing their social id dps into red.,People in Nigeria are changing their social ids to red to show their support for the students who were killed by security forces.,facisthasina declared mourning day after ordering to kill 300 students. people are rejecting this mockery by changing their social id
the police of fascist sheikhhasina attacked the people without any reason,931075,the police of fascist sheikhhasina attacked the people without any reason.,Hundreds of people have taken to the streets of Kiev to protest against the Ukrainian government's decision to allow a controversial Crimean Tatar law to come into effect,the police of fascist sheikhhasina attacked the people without any reason. the police of fascist sheikhhasina attacked
this july is not for sky viewers,885097,this july is not for sky viewers.,This is a selection of some of the best images from around the world this week.,this july is not for sky viewers. this july is not for sky viewers.
this red resembles the blood of our innocent brothers,738446,this red resembles the blood of our innocent brothers.,"It's a symbol of hope, it's a symbol of love, it's a symbol of hope, it's a symbol of",red resembles the blood of our innocent brothers.
after the fall of the secular chetonabadi terrorist dictator hasina the peoples victory was celebrated by taking over the national parliament,494103,after the fall of the secular chetonabadi terrorist dictator hasina the peoples victory was celebrated by taking over the national parliament.,Iraq's Prime Minister Haider al-Abadi has announced the formation of a new government following the ousting of dictator Saddam Hussein.,after the fall of the secular chetonabadi terrorist dictator hasina the peoples victory was celebrated by taking over the national parliament
rows of anonymous grave of protesters at rayerbazar cemetery,741053,rows of anonymous grave of protesters at rayerbazar cemetery.,.,protesters protesters protested at rayerbazar cemetery in rayerbazar. rayerbazar cemetery
even minor meritorious boy is in police remand for protesting against autocratic government,974024,even minor meritorious boy is in police remand for protesting against autocratic government.,"For latest breaking news, other top stories log on to: www.abplive.in",even minor meritorious boy is in police remand for protesting against autocratic government.
bangladesh rapid action battalion ran forces were captured dropping grenades from helicopters at student protestors,399507,bangladesh rapid action battalion ran forces were captured dropping grenades from helicopters at student protestors.,Soldiers from the British Army's rapid action unit have been involved in clashes with students at the University of Bristol.,bangladesh rapid action battalion captured dropping grenades at student protestors.
they are generation z invincible brave after brutal killing torture of their comrades they are still on the street in front of a police he is writing on the wall drama in daylight arrest at night,236602,they are generation z invincible brave after brutal killing torture of their comrades they are still on the street in front of a police he is writing on the wall drama in daylight arrest at night.,"The BBC's Mark Lowen reports from the Polish capital, Warsaw.",generation z invincible brave after brutal killing torture of their comrades they are still on the street in front of a police
bangladeshi students vs bangladesh army unarmed vs armed shame on you bangladesh,778802,bangladeshi students vs bangladesh army unarmed vs armed shame on you bangl Bangladesh.,The BBC News website takes a look at some of the key stories from the past 24 hours in Northern Ireland.,bangladeshi students vs bangladesh army unarmed vs armed shame on you bangladesh army unarmed
point one demand one resignation of murderer having,979882,point one demand one resignation of murderer having.,"The BBC's political editor, Richard Galpin, looks at the fallout from the UK's vote to leave the EU.",point one demands one resignation of murderer.
epidermal spotted in dhaka,729313,epidermal spotted in dhaka.,.,epidermal spotted in dhaka.
today at mirror 10 loud and clear step down fascist having,421964,today at mirror 10 loud and clear step down fascist having.,Labour leader Jeremy Corbyn has said he will not take part in the UK general election on 8 June because he does not believe it is in the interests of,today at mirror 10 at mirror 10 loud and clear step down fascist.
solidarity with be students 35 july 4rth august 2024 malaysia,195828,solidarity with be students 35 july 4rth august 2024 malaysia.,BBC Sport takes a look back at some of the most memorable moments from the Rio Olympics.,solidarity with be students 35 july 4th august 2024 malaysia. solidarity with be students 35 july 4th august 20
the dictatorial having government will not prosecute the murders because they themselves are the killers 16yearold student in prison in the case of the murder of au saved who was shot by the police,231938,the dictatorial having government will not prosecute the murders because they themselves are the killers 16yearold student in prison in the case of the murder of au saved.,The government of the Democratic Republic of Congo has announced that it will not prosecute any of the recent murders in the country.,the dictatorial having government will not prosecute the murders because they themselves are the killers 16-year-old student in prison in the case
this generation will never forget and forgive swami league and sheikh having thousands of students were killed and in the middle of night raiding the house we just forget to sleep peacefully meanwhile having shows crocodile tears to the metro,893124,this generation will never forget and forgive swami league and sheikh. having thousands of students were killed and in the middle of night raiding the house we just forget to sleep peacefully meanwhile having shows crocodile tears to the metro.,This is the story of a young man from a poor family who was forced to leave his home by his parents because of the political turmoil in the country,this generation will never forget and forgive swami league and sheikh having thousands of students killed and in the middle of night raiding the house we
not sure how long she can stay in power today thousands of people came out to the streets again they have grievances for the loss of hundreds innocent lives in bangladesh it will be in 3 4 folds in coming days,414216,not sure how long she can stay in power today thousands of people came out to the streets again they have grievances for the loss of hundreds innocent lives in bangladesh.,"The prime minister of Bangladesh, Sheikh Hasina has said that she will step down at the end of the year.",thousands of people came out to the streets again they have grievances for the loss of hundreds innocent lives in bangladesh it will be in 3
save bangladesh student all of you will pray for the students of bangladesh government and police army bob are killing ordinary students in bangladesh,466210,save bangladesh student all of you will pray for the students of bangl Bangladesh government and police army bob are killing ordinary students in bangLadesh.,All of you will pray for the students of bangladesh government and police army bob are killing ordinary students in bangladesh,save bangladesh student all of you will pray for the students of bangladesh government and police army bob are killing ordinary students in ban
curious about the meeting of the army chief will they take the side of a fascist and help to kill more students or will they convince fascisthasina to step down,664089,curious about the meeting of the army chief will they take the side of a fascist and help to kill more students or will they convince fascisthasina to step down.,"In the wake of the killing of 17 students by a far-right gunman at a university in Paris, the French army has been called in to help",army chief will they take the side of a fascist and help to kill more students or will they convince fascisthasina to
it is not working this time students blood on your and casings hands,775940,it is not working this time students blood on your and casings hands.,"Another day, another police shooting, this time in north Belfast.",it is not working this time students blood on your and casings hands. it is not working this time students blood on your and casings
pro just think of yourself in jail there may not be a commode what will happen then with your big size ass,721787,pro just think of yourself in jail there may not be a commode what will happen then with your big size ass.,If you're going to be in jail for a long time you might as well be big enough to have a toilet.,pro just think of yourself in jail there may not be a commode what will happen then with your big size ass.
look how police openly firing on students in bangladesh dhaka 02082024,794643,look how police openly firing on students in bangladesh dhaka.,BBC News NI takes a look at some of the key stories from the past 24 hours in Northern Ireland.,bangladesh police openly firing on students in bangladesh dhaka 02082024.
how blatantly a prime ministers son can share lies in front of public absolute disgrace no wonder mother dictator having and son saree waved together destroying our country,425655,how blatantly a prime ministers son can share lies in front of public absolute disgrace no wonder mother dictator having and son saree waved together destroying our country.,"Prime Minister David Cameron's son, George, has been accused of lying to his mother about his father's health.",son can share lies in front of public absolute disgrace no wonder mother dictator had and son saree waved together destroying our country
a new dawn a new country you will be remembered,702269,a new dawn a new country you will be remembered.,A look back at some of the most memorable moments from the 2016 UK Eurovision Song Contest.,a new dawn a new country you will be remembered.
wonderful work very inspiring for the students,951959,wonderful work very inspiring for the students.,"Students at the University of California, Los Angeles (UCLA) have been learning how to write a letter to President Donald Trump.",wonderful work very inspiring for the students.
glimpses of the inqilab movement taking over coxs bazar streets 100 of ordinary citizens joined students in a powerful display of dissent the city reverberated with chants demanding the resignation of the prime minister and her parliament members,828556,100 of ordinary citizens joined students in a powerful display of dissent the city reverberated with chants demanding the resignation of the prime minister and her parliament members.,"Tens of thousands of people have taken to the streets of Bangladesh's capital, Dhaka, to protest against the government.",glimpses of the inqilab movement taking over coxs bazar streets 100 of ordinary citizens join students in a powerful display of d
if the graffiti on the walls turns into maps in moments of stillness,985966,if the graffiti on the walls turns into maps in moments of stillness.,If the graffiti on the walls turns into maps in moments of stillness,graffiti on the walls turns into maps in moments of stillness. if the graffiti turns into maps in moments of stillness turns into maps.
