Tweets,tweet_id
on august 4 2024 on the first day of the mass movement around 30 people were killed across the country in attacks by the awami league chhatra league jubo league and police,964474
bel goons attacked unarmed protesters viciously throughout the whole day this video shows a proof of their act in sleet,657228
injured individuals will receive training and job priority while the final martyr list is gazetted and injury lists are pending,411981
if a decision to ban the party is not made within this timeframe the july warriors have announced plans to block dhaka city,753287
we did not commit any crimes is it our crime to ask for an independent police commission said soaibur rahman during a remand hearing in a case filed under the cyber security act,310260
students across bangladesh took to the streets late at night after protests erupted at dhaka university in response to pm sheikh hasinas comments against the quotareform movement university students nationwide held processions on their campuses,982936
shots are being fired at you and du please help them or spread the word,228176
how can you turn a nonviolent protest into this its been days of attacks we stand with bangladeshistudents all eyes on dhaka university,617821
never been this proud of my teachers teachers of jahangirnagar university held a demonstration with red clothes tied over their mouths,901682
resistance is the existence so keep fighting online offline in bangladesh and abroad fight everywhere the new sun will rise,169257
according to sources bangladesh army asks pm sheikhhasina to resign within 45 minutes she left dhaka for a safer place highly possible that she flown to india in military helicopter,150539
in bangladesh gen z is making history for democracy for freedom genzrevolution we made another history to remember 5th august 2024 36th july new independence day in bangladesh,158642
sheik hasina rehana left the country people are entering the ganabhaban prime ministers office,445179
bangladesh is on the boil the antiquity stir has intensified 32 people have died protesters have called for a nationwide shutdown rejecting pm sheikh casings offer of talks to all those of you who have written to us from bangladesh were covering the story stay safe,966336
breaking bangladesh has imposed a curfew and has deployed the army to control ongoing protests against pm casings authoritarian rule the death toll since monday has climbed to at least 105 stay tuned,978861
6 months ago bangladesh got rid of the fascist government this wall art was made on this occasion maybe its my first and last wall art thanks to the principal of our college our economics teacher and our juniors for the help it was really a wonderful day,477070
today launched the book bangladesh 36 july 2024 to mark humanrightsday in the presence of two of the young artists the book launch was accompanied by a photo exhibition featuring powerful street art inspired by the protests of 2024 on the theme of fundamental rights thank you office of the chief adviser for supporting this initiative,210235
bic exposed the fabricated propaganda spreading by indian people may you get well soon and stop spreading propaganda about our country,239947
assunnah foundation provided support to 109 orphans and 2 hindu families with 3 crore bdt taka for the families of 300 martyrs who lost their lives in the julymassuprising of the antidiscrimination student movement in bangladesh,167744
lots of murals around the city celebrating the change of regime a few months ago 36th july is reference to the day having fled aug 5th the protesters said they would keep counting the days in july until their demands were met,786859
water water water mirmugdho called the students for water but suddenly a bullet hit upon his head he was dead at the spot we will miss our heroes,635307
4 people including cocoordinator musaddiq were detained from the movement in paltan,697981
all this students have been arrested during peaceful protest,319597
having 15 years of fascism in recommends bangladesh to take the july 2024 genocide case to the ice justice must prevail more impunity for mass murderers the world is watching,896654
justice for shapla nowtheyve tried repeatedly to erase us from history but they could notand never will inshaallah the pain of 2013 lingersour martyred brothers blood fuels our fight for justice,741634
the month of july and the first five days of august consisted of a student movement in bangladesh from the quota movement to the total noncooperation movement with a endpoint demand the country regained freedom and independence,652185
look how the police are firing on ordinary students amid the quota movement at dhaka university save us save bangladesh from this dictatorial government,503392
6 deaths 400 injured yet we will not stop protesting we will not stop speaking about quothamovement its a basic right govt has to give it to us as simple as that we are bulletproof are you,157972
it investigation finds irrefutable evidence against sheikh having in genocide and crimes against humanity case,655797
having is the murderer of thousands she should face the consequences of her wrongdoings and killing through the ice india should not act like a foe by facilitating this dictator indian land should not be used as a platform against be,422942
one point one demand step down fascist having,459571
dictator casings police attacking even our university teachers,554198
we chose motherland freedom and victoryinqilab zindabadlong live the revolution,117756
bangladesh is free from the long dictatorship of tyrant and murderer sheikh having gratitude to the quota reform movement students and the people of my country for making this possible this is just the beginning we will reform our motherland,513352
we have done seven powerful paintings each capturing the essence of the 2024 student movementsacrifice unity and the relentless fight for justice,845574
happy victory day guys,687745
today is the day of independence the day of victory the day of martyrs a new era has started with new spring birds are singing fresh smell are spreading,448259
this is us this is our new loving bangladesh,234380
a month of celebration of the victory of bangladeshs antidiscrimination student movement honoring the courage and unity that brought change,205433
salute to all the martyrs who lost their lives fighting against the fascist swami misrule,833841
internet connection in dhaka university and surrounding area has been stopped and 4g connection is not available completely,422054
to see the power of truth look to bangladesh today and keep looking it is a historic day for the bangladeshi people and the nation worldwide,798943
mirror is in crisis save us save us,694988
massive congratulations to my fellow countrymen while we remembers the ones who we lost during this fight for freedom while the tyrant has left urging all residents to keep up the vigilance and celebrate victory in civilized manner,779633
no surprise here the recent triumph of bangladesh student movement was 15 years in the making their perseverance has paid off proving the power of youth in shaping a nations destiny,500860
a thread on the heroic efforts of private university students and the brutality of bangladesh police on 18th july,534330
this painting is tribute to all the martyrs of july revolution,787557
we want answers for every bullet ridden body we will leave the streets only after justice is served,131405
facisthasina declared mourning day after ordering to kill 300 students but people are rejecting this mockery by changing their social id dps into red,360761
the police of fascist sheikhhasina attacked the people without any reason,931075
this july is not for sky viewers,885097
this red resembles the blood of our innocent brothers,738446
after the fall of the secular chetonabadi terrorist dictator hasina the peoples victory was celebrated by taking over the national parliament,494103
rows of anonymous grave of protesters at rayerbazar cemetery,741053
even minor meritorious boy is in police remand for protesting against autocratic government,974024
bangladesh rapid action battalion ran forces were captured dropping grenades from helicopters at student protestors,399507
they are generation z invincible brave after brutal killing torture of their comrades they are still on the street in front of a police he is writing on the wall drama in daylight arrest at night,236602
bangladeshi students vs bangladesh army unarmed vs armed shame on you bangladesh,778802
point one demand one resignation of murderer having,979882
epidermal spotted in dhaka,729313
today at mirror 10 loud and clear step down fascist having,421964
solidarity with be students 35 july 4rth august 2024 malaysia,195828
the dictatorial having government will not prosecute the murders because they themselves are the killers 16yearold student in prison in the case of the murder of au saved who was shot by the police,231938
this generation will never forget and forgive swami league and sheikh having thousands of students were killed and in the middle of night raiding the house we just forget to sleep peacefully meanwhile having shows crocodile tears to the metro,893124
not sure how long she can stay in power today thousands of people came out to the streets again they have grievances for the loss of hundreds innocent lives in bangladesh it will be in 3 4 folds in coming days,414216
save bangladesh student all of you will pray for the students of bangladesh government and police army bob are killing ordinary students in bangladesh,466210
curious about the meeting of the army chief will they take the side of a fascist and help to kill more students or will they convince fascisthasina to step down,664089
it is not working this time students blood on your and casings hands,775940
pro just think of yourself in jail there may not be a commode what will happen then with your big size ass,721787
look how police openly firing on students in bangladesh dhaka 02082024,794643
how blatantly a prime ministers son can share lies in front of public absolute disgrace no wonder mother dictator having and son saree waved together destroying our country,425655
a new dawn a new country you will be remembered,702269
wonderful work very inspiring for the students,951959
glimpses of the inqilab movement taking over coxs bazar streets 100 of ordinary citizens joined students in a powerful display of dissent the city reverberated with chants demanding the resignation of the prime minister and her parliament members,828556
if the graffiti on the walls turns into maps in moments of stillness,985966
dear abram fahd thai only if you could see them now you would be so proud,769651
please speak about bangladesh use your platforms to spread awareness about the ongoing situation,180036
bangladeshs largest english daily the latest breaking news features analysis and more from dailystarnews,377811
some students were hurt by the police attack on july 18 while others rested on recovering their strength,583972
july 2024 just another month maybe not it was very terrible with nights intensifying the agony a tired mind battles tears flowing intensely may such a moment never come to earth not even for a planck second,586992
alright everyone it is time to untie those chains raise your voice together tigers assemble,446639
10th grade shot dead in uttara when she was on her balcony date 19 july naima class 10 age 16 sector 9 behind uttara adhunik medical,657079
people with physical disabilities are also participating in this protest it is now unstoppable,840631
a fire was set to a showroom of the wellknown clothing brand yellow on road no2 in dhanmondi dhaka,187802
all eyes on bangladesh save bangladeshi student step down fascist having,986554
the pm said this while addressing the nation on the ongoing violent situation centering on the noncooperation movement called upon by the protesters today 4 august,250205
justice must be served for these murders,618993
the antidiscrimination student movement announced a long march to dhaka programme tomorrow 5 august to press home for their onepoint demand of resignation of the current government,102642
we want justice,182066
we witnessed a new dawn in bangladesh as it gained independence,565119
mass protests countrywide against the murderer sheikhhasina hasina must go,545840
who is this guy shooting against unarmed student protesters,606365
update 159 lives it can be more all eyes on bangladesh save bangladeshi students step down fascist having,456627
18july at brace university police are attacking students,208145
its not a zombie movie scene its our bangladesh,837746
students in bangladesh are on the streets with their one point demand,113711
bangladeshi muslims are protecting temples from attack,783730
help bangladeshi student they are killed by police and the ruling party,958166
baldheaded terrorist police brutally shoot an innocent student where is the end will there be any judgment on this plea,692171
they killed 2 more students,418797
my last tribute to the july revolution victory to youth and bangladeshi people victory to whole,521181
moved to tears dhakauniversity shibir president abu sadiq mohammad kaiyum pays heartfelt tribute to the martyrs of a new bangladesh,116821
swahili march 5 september 2024 we have to protect this freedom at all cost,236057
july massacre 2024 we will never forget our second independence was made possible by the sacrifices and sufferings of thousands of people like this injured brother,909756
victory to the students of bangladesh down with casings system no trust in the army no trust in the ruling class parties all power to workers and students committees workers of the world unite,969554
alarming if you look at the current composition of quotamovement in bangladesh other than banned jamaat shibir and violent bnp there is also the islamicmovement listen to the chief chormonai pir proudly admitting how his org has been with the protesters from outset,972651
why are the socalled leaders of the quotamovement carrying and promoting the black isis flag what are they really trying to achieve here why are they endorsing mob justice and spreading islamicextremism under the guise of student activism bangladeshs future lies in unity and peace not in extremist ideologies,644136
case filed against ousted bangladesh pm sheikhhasina and 147 others over death of a protestor during,649917
at least 100 people have been killed today including 14 policemen in bangladesh bangladeshi army seems to be refusing to use live ammunition against protesters having regime facing a serious threat to its survival,149342
london england londoners are protesting against dictator sheikh having for mass killings of students,165938
the antidiscrimination student movement at dhaka university organized a peaceful protest today calling for the prosecution of fascist hasina for julymassacre and crimes against humanity while also shedding light on the albd1971s conspiracies,354112
bangladesh is on a path to healing and recovery let us stay hopeful and supportive as the nation moves forward,216464
after the resignation of the prime minister of bangladesh over the quotamovement students are forcibly dismissing the teachers of the educational institutions the countrys teachers are helpless today in sarishabari the students forcing the headmaster to sign the resig,579141
this is how the army cheered at the ganabhaban after bangladesh prime minister sheikhhasina was dismissed from work over the quotamovement,146231
students are now staying at shahbagh dhaka,326224
loud and clear endpoint demand end the dictatorship,993236
breaking chhatra league terrorists have set fire to a hospital bus inside pg hospital,124678
so far the bangladesh army is on the side of the students at night you can understand where the situation is going,622435
this is the longest july in the history of bangladesh,698686
this is possibly the best art you will see today streets of bangladesh by students,288981
bosila mohammadpur 100 pm 4th august 2024 step down fascist hasina,850247
dhaka city under attack by helicopter,940739
can anyone share the video threads of atrocities done by dictatorhasina during the recent protest,867658
students showing middle finger to government curfew huge protest during the night in dhaka,770412
please speak about bangladesh use your platforms to spread awareness about the ongoing situation all eyes on bangladesh save bangladeshi students,957065
things getting changed rapidly now military started protecting students all over the country especially in camilla chittagong few places in dhaka stay strong,602579
the power of unity for a better bangladesh 3rd august 2024 central shared minor dhaka bangladesh,817796
no one wait for the morning anymore utter dhaka bangladesh 300 am,374886
they are still hunting and shooting people down this video is from chittagong,862820
mass people are heading towards kayla area as police started firing then video taken at 617pm local time august 4 2024,924532
march to dhaka bangladesh students already in dhaka well kick having out in she allah,320089
live firing at provativag khilgaon by the goons of awami league they are killing people with sharp weapons guns step down fascist hasina,673854
you see this our own govt did this to us they are killing our students,814101
firing at mirror 10 i can hear the sound from my home plus pray for everyone may allah keep them safe,782046
the internet service providers must not under any circumstances shutdown the connection in be,335438
after the fall of the secular chetonabadi terrorist dictator hasina the peoples victory was celebrated by taking over the national parliament 36 july 5 august 2024,846722
no this is not a movie scene this is my country this is bangladesh,782208
never before has an entire nation awaited a sunrise with such eagerness,504651
a portion of the people gathered in dhaka bangladesh to take part in the event of overthrowing the regime 36th july loading,830540
may allah protect all my brothers and sisters today long march to dhaka step down fascist having,425129
join us in this historic movement to restore democracy and justice your voice matters let us make it heard be part of the change let us reclaim our rights 15 long years of oppression ends tomorrow,456168
police so voting on students at central shared minor step down fascist having,734761
july will continue until we win step down fascist having,805217
fascist government has once again shut down all types of internet in bangladesh perhaps the authoritarian having government is moving towards another genocide,851624
i have reached shahbag as part of longmarchtodhaka army is rather in supportive mode,621389
hundreds of thousands of people have started to march toward the center of bangladesh capital dhaka the country chief of army staff will address the nation at 300pm,380772
at least 80 people died today having is committing a genocide to stay in power,315587
i cannot express how much happy i am right now its the biggest victory,919961
incredible scenes from on the way to shaaban dhaka bangladesh people climbing on the tank and waving bangladesh flag with military personnel,563467
those who are participating in the long march to dhaka stay safe and earn magnificent triumph i am proud and jealous at the same time,714183
look the condition of minorities in bangladesh sob mandola got killed by extremist inside the police station,179866
the value of your deep resentment for the desecration of the bangladeshi flag is commensurate to the value you give to the flags of other nations bring your own house in order before you cry foul,348319
students protesting again i am sure the government of india will do kadi kinda so the hindus stay safe there,410534
according to the 10page in report nearly 400 deaths were reported between july 16 and august 4,188282
the july shared smriti foundation decided in its first executive meeting that each martyrs family from the july uprising will receive tk5 lakh and each injured person up to tk1 lakh,158085
the government today published a draft list of 708 individuals who lost their lives during the studentled mass uprising in july and august this year,231804
taibur rahmans education and treatment are at risk after being shot in the julyaugust uprising as his fathers tea shop has closed his family pleads for government support to continue his recovery and studies,481797
alhamdulillah by the grace of allah i am safe sound we did not achieve our victory yet its just a first step towards victory were demanding an urgent caretaker government we do not want army rules,406300
tomorrow is the march to dhaka begin your journey to dhaka now to witness history and join the final battle we officially call upon the military to support the popular uprising asif mahmud coordinator antidiscrimination student movement,783964
death toll is mounting in bangladesh at least 50 people killed today alone this killer government must go people needs help the country needs power transition,192008
the fate of our country rests in the success of this revolution,133711
its the end game either we die or take her down and drag her down the mud ya allah intahi bi alzalimeen may allah shower us with blessings,708996
today was the bloodiest day of the july genzrevolution with at least 100 deaths determined to oust the dictator protesters are calling for a nationwide marchtodhaka to restore democracy in bangladesh fears of more violence tomorrow we urge intl attention,135347
updates before tomorrows marchtodhaka 1 high court dismisses petition seeking not to shoot the students 2 mobile data based internet has been shut down again 3 more than 32 killed around bangladesh by awami league members 4 the pm doubles down blames terrorists bal,514794
the bangladesh student movement has called for a march to dhaka tomorrow,139713
only today the first day of non cooperation movement 88 protesters killed by hasinas police and militia force students declared marchtodhaka tomorrow to take down the dictator please join the movement by any means possible,183276
hundreds of places are under attack now street lights are off gunshots echo we do not know how many will survive tonight if you do come to the streets tomorrow to save our country its now or never,729055
today august 5th 2024 aka july 36 2024 this is going to be a historical day for the people of bangladesh as the common people students,818966
its 440ambut sleep so many things going on our mind right now that cannot be explained today is the day everyone please pray that everything goes well today step down fascist having,929317
breaking date change march to dhaka announced for tomorrow 5 august 2024 for the final push leave your own district for dhaka if you are not from dhaka location shahbagh dhaka,610933
today we have regained freedom alhamdulillah this is only possible for students,910461
so today 36th of july bangladeshistudents and common people of this nation were to marchtodhaka to join the central shaheed minar to join the mass movement but mobile internet along w broadband were cutoff from around 1100 in the morning when do this atrocities end,677194
this is a historical genzrevolution against fascist hasina regime step down fascist hasina,250748
will will stop this killing by killer having news source proton all,679452
ousted bangladeshs prime minister sheikh hasina her son sajeeb wazed joy and niece tulip siddiq embezlled 5 billion from overpriced 1265 billion rooppur nuclear power plant through malaysian banks,798901
bangladesh i have not seen 71 but i have seen 24,945218
ban the bel and every student political wings bring justice for each and every murder by the police we want them to be brought to trial not some other students who r falsely convicted for students murders,909151
please talk about bangladesh,881827
todaythe noncooperation movement is taking place in our country with student protesters 1 point claim step down fascist hasina either it is going to be blood game or victory light for us but we will not step backcome forward together,866781
we want our rights back,890425
first of allcourt cancelled the writ of open firing on students during protest then police bsl started klling our people today and now government shut down internet againliterally die you fascists we want you gone,998785
the end of july and it needs to keep stayed in the memory so that it returns every year and we recall the martyrs and their sacrifice,600496
we deserve a peaceful country a peaceful world stop these nightmares i am tired even breathing seems too much,616922
her brother was wrongfully arrested during the protest and she herself stood in front of the police van to protect her brother fear is contiguous fortunately so is courage,536721
a student dead headset by snipers who are supporting the bad govt,690909
first students and now teachers everything has its limit but be govt is keep crossing that the outcome will never not be in that fascists favor,176608
ya allah let it be our day todaylet the victory touch our blood todaywe will free this nation from fascist hasina ameen,766611
fear is contagious fortunately so is courage,743403
last day of bloody july may allah grant hannah to our martyred brothers sisters and keep all students safe sound as they stand up against injustice amen ya allah,738966
from the river to the sea bangladesh will be free inshaallah,476216
social welfare adviser to the interim government sharmin s murshid and general secretary of the foundation mir mahbubur rahman snigdho handed over the cheque of taka one lakh to each family today at combined military hospital cmh dhaka link in comments,936888
bangladeshi mullahs demonstrating on dhaka street they will not allow durga puma in the field where every year puma committee do in utter,561064
this muslim child who was arrested for vandalizing hindu idols says if you destroy hindu idols you will get reward after death you will get paradise from childhood the followers of the called religion of peace teach them to destroy,523526
on august 4 bdbnp78 activists murdered a awamileagues youth front leader in kishoreganj they also critically assaulted another student front leader bone in his skull is broken and now requires transplantation,294449
a bangladeshi cricket fan was in trouble so the police took him to the hospital for treatment but when the bangladesh government was in trouble they treated indians badly and every indian regrets this act,778346
this is how dr runs is justifying the mob killings political revenge at home in international media denial and silence about attacks on minorities and albd1971 activists as well,918531
what happened at a mosque in the capital of bangladesh during prayer suddenly everyone got up and started throwing shoes sandals at each other a video is going viral showing a dispute arising over castes,522582
we have a legendary leader still in us who loves to say free palestine loud and clear in the stage of world leaders yes i am talking about sheikhhasina the living gem of bangladesh,861819
a group of armed cadres from bdbnp78 and bjiofficial attacked awamileague party office in raiganj upazila sirajganj they murdered six activists inside the party office and hundreds of activists were admitted to the hospital,208276
after addressing the economic crisis in srilanka this is how rwsrilanka left the presidential palace to assist in resolving bangladeshs economic crisis,797202
bangladesh 20 no social security no law order no active government there is nothing working at all,584864
a hindu housewife was forcibly raped at gunpoint by entering the house in chaeta echogram area of single nature,571872
aftermath of august 5 how extortion and assault spree by bop forced swami league leaders and activists to remain in hiding away from home and family bic bangle report brought to light harrowing details of wave of assault and extortion from victims,866617
though its my personal opinion but believe me the interim govt is never going to be successful dr yunus sir is a good man a good man can never make us good we need someone like adolfhitler to whom there is no punishment but death for disobedience,344036
papeya nasrin is an assistant professor at daulatpur college khulna bangladesh she threatened hindus with genocide and rape like 1946 noakhali massacre for arranging durga puja and expulsion to india,172973
a cricket umpire was lynched to death by sheikh casings swami league goons he was bob listed cricket umpire the world is silent on swami crimes,642261
how can we forget this scene of fascist hasinas genocide khilgaon taltala market dhaka 482024,835032
awamileague thugs and their student wings bangladesh chhatra league armed killers have been identified the brutal way they are trying to oppress the student movement,437966
look at his eyes the hunger of freedom is clear,595758
bashundhara gate under the student control,606507
supporter of bangladesh nationalist party publicly murdered by awamileague leaders,317181
it is a revenge that is going currently in this country the awamileague goons had done massive killing in last 15 years which is why the victims families are taking revenge on awamileague peoples but the government should minimise it by proper awareness,992550
18 july 2024 a man in a dhoti long piece of cloth worn was being taken away in an army helicopter location cambrian university dhaka bangladesh,247768
they are killing they are killing my brothers sisters save if you cannot save protest with unmake it worldwide borrow us justice use these pictures washrags increase the count help us,183480
demands are being raised everywhere to ban swami league due to violence in the peaceful quota reform movement,951627
swami league unleashed crime against humanity this party must be banned and perpetrators corrupted and human rights violators must face the trial,354220
indian media with its propaganda has done more harm than help to bangladeshhindus and worsened the situation for us listen to this bangladeshi hindu explain to mnshap,126214
and we never forget to support our palestinian bothers and sisters step down fascist having,128303
under the guise of democracy dictatorship is ongoing in bangladesh,699118
runs has woken up because his islamist zombies have attached christians now runs is employed by christian masters he will not take it lightly not just runs all via bots across south asia are working for the same agenda all of them behave similarly,455297
clan of money launderer sheikh mujib clan is the worst corrupt family in the history of,750509
in chittagong 25 people injured by gunfire have been brought to the hospital following clashes bel are not letting anyone take the injured to the hospital,305216
do not cry baby just imagine what you have done in last 16 years,930661
the indian government is making bangladeshis antiindian we want our right share of water we should raise our voices to consider india as a terrorist country that is killing people by manipulating the water of international rivers,999517
chhatra league leader tanmoy das pulled the students hijab while attacking female students at salimullah medical college in the capital,449123
bdpolice shot and bombarded on students and journalists at dhakauniversity campus campus turned into a battleground,234908
a protest rally has been taken place today at the base of the raj memorial sculpture demanding the trial of the murderer and fascist having,330078
step down fascist having,277828
brutal attack by chhatraleague on students at khulna university last night later ordinary students expelled the armed chhatraleague terrorist from campus through mass ressistance,258687
bad terrorists openly came out with such huge weapons to attack unarmed students in utter of the capital,634823
do not take the law into your own hands joke mother of mafia bangladesh pm,482083
hello world please stay beside stay beside the humanity and the protest for real brilliant students,416626
this is not about just quota anymore when a ruling party orders their dogs to kill innocent citizens they need to be taken down as soon as possible we will not let those sacrifices go wasted,169721
you are a dick dogs are not bad its people that own those dogs and for you to single a dog breed out shows how simple minded you really are pop,881281
bangladesh is not safe at this moment anymore its not independent anymore we are not free to speak anymore seeking help from global organization all of our media coverage are under govt,285202
chhatra league terrorists see what they are bringing to kill students these killers must be banned we have to do without bangladesh,659353
awami murderers have beaten a student to death in court bazar area of sirajganj,273431
we are in a state of war i cannot keep a count of how many people i saw dying today we need help dhanmandi 27 lalmatia e and d block,462167
martyr au sailed he stood there smiling arms open chest brimming with pride we will never forget your sacrifices may allah bestow his mercy upon my brother,789264
water somebody needs water were the last words of martyr mir mughal before he was shot to death on 18th july,825788
the real madrid shirt is white it can stain of mud sweat and even of blood but never of shame realmadrid does not lose until the final whistle,807210
student wing of awami league bsl terrorist spotted firing on unarmed students aljazeeraworld bbc wionews step down fascist hasina,855454
fierce clash has erupted between law enforcement agencies and students at dhakauniversity bangladesh police are charging the students with tear gas rubber bullets and sound grenades,951536
i need some bangladeshi mutuals i thought not many rajakar use twitter but i was wronglets follow each other build a strong community here,328841
bangladeshi ruling party student wing bel killing innocent protestors with heavy guns,617006
police league attack by entering prime asia university one thing you what happening in our country students are not safe,204000
dhaka to kolkata we want justice,496484
i can not believe the next time i go to bangladesh there will not be a dictator ruling it,781783
pakistanis please support our brothers sisters in bangladesh who are being drowned by india through release of water from upstream dams in india as revenge for kicking out the indian agent sh having in bangladesh,792965
government stopped 7 pm bulletin of yamuna to pulling party also cutting down the transmission of desk to channel 24 news 24 continuously the regime is now forcing to remove contents from social media too meted hasa marry yamuna to,612039
some footage of the police firing on the revolution crowd in bangladesh having has to answer for this,542390
chatra league along awami terrorists are murdering people all eyes on uttara munshiganj shirajganj cumilla step down fascist hasina,107683
the protesters experienced firing at them at honor aka,366505
the goons of chhatra league shooting with guns in comilla,310622
one point one demand step down having,788535
this kid made me cry his efforts made him a big hero all my dual are for him,597491
chhatro leauge and police firing on students almost 50 people died in clashes with police and awami goons,717657
the revolution coming from east pakistan may also come to pakistan a momentary concern for shabbat sharif resign yourself and go home,498216
to whom it may concern there is no justice in politics,726786
at the sirajganj court bazar area the goons of the chhatra league and jubo league murdered a student,461107
ghaddar bint e ghaddar landed in agartala story penned in 1948 cast finalized in 1962 shaped in 1968 executed in 1971 has finally reached its logical conclusion in 2024 ek ahd e ghaddari tamam howa,955269
already so many students have been arrested from today protest and beaten up,358387
the police and bgb of fascist sheikhhasina stood by and watched as the armed forces in plain clothes began pulling innocent students,883212
rajshahi the armed forces in plain clothes were dragging innocent students while the police and bgb of fascist sheikhhasina were standing and watching,298098
as the students have announced that they will continue their protest until their 9point demands are met in response the bangladesh army can be seen taking positions in different parts of the capital dhaka to quell the protest multiple student groups claimed national telecommunication monitoring center name deployed hammers to disrupt their communication,588553
a zombie movie scene nits our bangladesh,444797
after 5 days we can use internet but with van,909594
what is happening in bangladesh save bangladesh student,974325
our prime minister is on her way to leave the country she is going to spain do not let her leave,694488
this is how bangladesh government police trying to stop students,245895
the reason for the incorrect washrags is the hashing count not happening everyone copy it its not too late to be 1 million,428776
the country is going through the darkest time the latest update is that the toll reached 46,668425
its time to bring this masterpiece back to the timeline,214629
best wishes to dr muhammad runs and other members of the interim govt,299438
this is new bangladesh this is how a couple celebrated sheikh casings fall in front of the crowd do not believe indian propaganda about,426801
name of water brand in the name of martyr mugshot,512130
that is how we achieved our freedom in 2024,809107
who are you who am i razakar razakar who changed who who changed coordinator coordinator shamsunnahar hall du 16 september 2024 122 pm,559483
no matter their religion or identity be it muslims hindus christians buddhists indigenous people or the third gender community and i are dedicated to protecting everyone from harm,188845
students are standing guard to protect the different hindu temples those photos were taken at midnight do not trust propaganda and rumors we this generation are committed to ensuring the safety of all minorities in bangladesh,446541
snigdho made the statement at an event organised by laksam traditional protection city at laksam municipality auditorium yesterday 28 september link in comments,145234
quota movement and the blueprint for regime change in bangladesh the blueprint for a regimechange was cooking in the background for the past five months the quotamovement2024 provided the perfect cover the plan was to create terror and chaos across the country through vandalism and arson attacks on people privatepublic properties and government establishments ie dhaka airport parliament and ganabhaban,499837
hundreds gather at shahbagh responding to students call for continuing protest,206570
the police are shooting from the roofs scary visuals,479417
protesters gather in front of khilgaon eidgah jame masjid in dhaka demonstrators are currently stationed in front of the eidgah jame masjid in khilgaon dhaka continuing their protest,719498
you can blackout the internet and take away our freedom to speak but what about allah he is watching everything how could you forget this you will be destroyed soon or later but you will,760439
investigation shows that the majority of deaths during the quota movement protests were caused by bullets aimed at critical parts of the body pointing to deliberate use of lethal force,458582
sumaiya a new mother was tragically killed by a stray bullet on her balcony shooted from helicopter the bullet pierced the balcony grill taking sumaiyas life instantly,654526
students march in the rain in aftabnagar and uttara dhaka,305503
there is a massive media blackout with the critical situation in bangladesh while the rest of the world is distracted by the most ridiculous olympics in history there have been over 1700 students murdered in the streets already,605579
they will kill us all rather than giving our rights we need help we need help we need help,114688
bangladesh 42 students have been killed by bangladesh police provost bel dictatorship in a democratic country cannot be tolerated having step down,292442
helicopter landed on the roof of brace university to rescue the ran elite force of bangladesh because these forces were trapped during the quota movement under the pressure of the people and students their rescue work was going on,628963
former professor at dhakauniversity mahbubullah in an interview with prothom alos sohrab hassan and monoj dey speaks about the ongoing quotareformmovement and related issues,138092
curfew has been imposed army will be deployed in bangladesh,302771
summoning bangladeshi students from spain,865318
the worst remittance fighter in the history of bangladesh,861579
official statement having resigned and ran away from the country source yamuna television,707276
this screaming of my sisters uncle please open the door uncle please the howling to get help this bsl and facisthasina would not think twice to kill its own people,555008
why are bangladeshi police people talking in hindi why why indian people in bangladesh,556864
quota reform movement unprecedented bangladeshpolice brutality by direct firing on students 1631 july 2024,462677
